Date	Time	Track	Artist	Notes/Guesses/etc.
				
9/13/2002	0:00:00	?	Little Johnny Taylor	first single on Galaxy?
9/13/2002	0:03:27	This Is The Thanks I Get	Barbara Lynn	
9/13/2002	0:06:25	?	Fabulous Emotions	
9/13/2002	0:08:32	commercial: Detroit 9000		
9/13/2002	0:09:30	?	Fabulous Counts	
9/13/2002	0:12:25	Let Me Be Your Lovemaker	Betty Wright	
9/13/2002	0:15:35	commercial: James Brown		
9/13/2002	0:16:09	Talkin' Loud and Sayin' Nothing	James Brown	second version?
9/13/2002	0:25:15	You Can't Miss Nothing That You Never Had	Ike & Tina Turner	
9/13/2002	0:27:18	commercial: Black Shampoo		
9/13/2002	0:28:15	?	?	"bed music, instrumental"
9/13/2002	0:33:50	You Want It You Got It	Detroit Emeralds	
9/13/2002	0:36:35	commercial: James Brown		
9/13/2002	0:36:56	Concrete Reservation	Syl Johnson	
9/13/2002	0:39:50	A Man Needs A Woman	John Holt	James Carr song
9/13/2002	0:43:18	commercial: Marigold Ballroom		
9/13/2002	0:43:53	Making Up Time	Frankie & The Spindles	
9/13/2002	0:47:23	Let's Do It Over	Joe Simon	
9/13/2002	0:49:40	I'm A Lonely Stranger	Arthur Conley	
9/13/2002	0:52:18	Piece Of My Heart	Erma Franklin	
9/13/2002	0:55:35	Love Train	Bunny Sigler	
				
1/17/2003	0:00:00	He Called Me Baby	Candi Staton	Patsy Cline
1/17/2003	0:04:13	Let The Music Take Your Mind	Kool & The Gang	
1/17/2003	0:07:15	Freedom Train	James Carr	
1/17/2003	0:09:25	commercial: James Brown		
1/17/2003	0:09:50	Can I Change My Mind	Tyrone Davis	good ringtone?
1/17/2003	0:12:44	A Woman Needs To Be Loved	Tyrone Davis	
1/17/2003	0:15:25	commercial: Detroit 9000		
1/17/2003	0:16:20	Come Round Here (I'm The One You Need)	The Jackson 5	Smokey Robinson
1/17/2003	0:19:19	Lookin' For A Love	Olympics	Bobby Womack & The Valentinos
1/17/2003	0:22:10			original soul train theme song
1/17/2003	0:23:58	I'd Rather Be An Old Man's Sweetheart (Than a Young Man's Fool)	Candi Staton	old man's sweetheart
1/17/2003	0:25:55	commercial: Superfly		
1/17/2003	0:26:50	Stand By Your Man	Candi Staton	
1/17/2003	0:30:04	You're Getting a Little Too Smart	Detroit Emeralds	
1/17/2003	0:33:16	commercial: James Brown		
1/17/2003	0:34:00	Hot Pants	Bobby Byrd	
1/17/2003	0:36:57	That's Life	James Brown	Sinatra
1/17/2003	0:41:45	commercial: Marigold Ballroom		
1/17/2003	0:42:15	… lost the realaudio stream at 43:49		I Got To Get Ya
				
1/23/2003	0:00:00	Marching Off to War	William Bell	
1/23/2003	0:04:17	We're On the Road to Hell	Roy C	
1/23/2003	0:06:40	Ready Or Not	Delphonics	
1/23/2003	0:08:34	commercial: Superfly		
1/23/2003	0:09:30	Ten Tons of Dynamite	Clarence Reed	
1/23/2003	0:12:20	Believe In Me Baby (part 2)	Jesse James	
1/23/2003	0:14:45	commercial: James Brown		
1/23/2003	0:15:19	I'm So Glad To Be Your Lover	Glen Aiken	
1/23/2003	0:18:00	Cassanova (Your Playing Days Are Over)	Ruby Andrews	
1/23/2003	0:21:18	It's Wonderful To Be In Love	Louis Williams	
1/23/2003	0:24:20	commercial: Detroit 9000		
1/23/2003	0:25:20	Havin a Party	Ovations	
1/23/2003	0:28:50	Pure Natural Love	Ovations	
1/23/2003	0:32:15	"If You Can't Give Her Love, Give Her Up"	Mary Wells	
1/23/2003	0:35:00	commercial: James Brown		
1/23/2003	0:35:29	Darling Come Back Home	The Valentinos	
1/23/2003	0:38:23	Bring It On Home Where You Belong	The Simms Twins	
1/23/2003	0:41:29	Soul Heaven	E Rodney Jones	instrumental bed music
1/23/2003	0:43:54	One Man Woman	Barbara Lynn	
1/23/2003	0:46:24	"Why Them, Why Me"	Abdullah	
1/23/2003	0:50:25			Lloyd Tate?
1/23/2003	0:52:44	interview	Sam Cooke & Montague	
1/23/2003	0:57:12	True Love Travels On a Gravel Road	Percy Sledge	
				
2/21/2003	0:00:00	Midnight Affair	Jimmy Hughes	
2/21/2003	0:02:40	Sixty Minute Man	Clarence Carter	
2/21/2003	0:06:30	dead air		
2/21/2003	0:07:30		Betty Wright	
2/21/2003	0:10:45	dead air		
2/21/2003	0:11:11		Lyn Collins	bread without no meat
2/21/2003	0:14:15	dead air		
2/21/2003	0:15:40	"I Got A Thing, You Got A Thing"	Funkadelic	
2/21/2003	0:17:05	commercial: Superfly		
2/21/2003	0:18:05	Chickenheads	Bobby Rush	
2/21/2003	0:20:50	(Follow Her) Rules And Regulations	Temprees	
2/21/2003	0:23:30	commercial: James Brown		
2/21/2003	0:23:55	?	Louis Williams	day train
2/21/2003	0:26:20	Black Angel	Ike Turner & The Kings of Rhythm	
2/21/2003	0:29:30	Baby Please Come Back	JJ Barnes	
2/21/2003	0:32:16	commercial: Detroit 9000		
2/21/2003	0:33:15	Short Stoppin	Veda Brown	
2/21/2003	0:35:45	Never Get Enough of Your Love	Eddie Floyd	
2/21/2003	0:38:50	Gonna Send You Back To Your Mama	Don Covay	send you back to your mama
2/21/2003	0:41:15	commercial: James Brown		
2/21/2003	0:41:46	It's My Thing (You Can't Tell Me Who To Sock It To)		
2/21/2003	0:44:30	?	?	bed music - wonder if it's king curtis?
2/21/2003	0:47:11	Ain't Nothing You Can Do	Bobby Bland	
2/21/2003	0:50:16	Witchcraft	Marvin Gaye	Sinatra
2/21/2003	0:52:45	I'll Be Around	Marvin Gaye	Sinatra
				
4/18/2003	0:00:00	Showtime	Detroit Emeralds	
4/18/2003	0:04:08	Finders Keepers	Chairman of the Board	
